"","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population"
"3562",1975,12,"NAHWITTI RIVER",80,114.285714285714,NA,0.3,NA,"O","105","NAHWITTI RIVER O"
"3563",1976,12,"NAHWITTI RIVER",175,564.516129032258,869.565217391304,0.69,1.60320736268346,"E","106","NAHWITTI RIVER E"
"3564",1977,12,"NAHWITTI RIVER",NA,NA,NA,0.59,NA,"O","105","NAHWITTI RIVER O"
"3565",1978,12,"NAHWITTI RIVER",400,869.565217391304,NA,0.54,NA,"E","106","NAHWITTI RIVER E"
"3566",1979,12,"NAHWITTI RIVER",NA,NA,NA,0.57,NA,"O","105","NAHWITTI RIVER O"
"3567",1980,12,"NAHWITTI RIVER",NA,NA,NA,0.45,NA,"E","106","NAHWITTI RIVER E"
"3568",1981,12,"NAHWITTI RIVER",NA,NA,NA,0.42,NA,"O","105","NAHWITTI RIVER O"
"3569",1982,12,"NAHWITTI RIVER",NA,NA,9.67741935483871,0.25,NA,"E","106","NAHWITTI RIVER E"
"3570",1983,12,"NAHWITTI RIVER",NA,NA,50,0.43,NA,"O","105","NAHWITTI RIVER O"
"3571",1984,12,"NAHWITTI RIVER",6,9.67741935483871,540.540540540541,0.38,4.50081017066385,"E","106","NAHWITTI RIVER E"
"3572",1985,12,"NAHWITTI RIVER",25,50,NA,0.5,NA,"O","105","NAHWITTI RIVER O"
"3573",1986,12,"NAHWITTI RIVER",400,540.540540540541,1351.35135135135,0.26,1.21739582465808,"E","106","NAHWITTI RIVER E"
"3574",1987,12,"NAHWITTI RIVER",NA,NA,312.5,0.44,NA,"O","105","NAHWITTI RIVER O"
"3575",1988,12,"NAHWITTI RIVER",1000,1351.35135135135,4494.38202247191,0.26,1.50282817737584,"E","106","NAHWITTI RIVER E"
"3576",1989,12,"NAHWITTI RIVER",100,312.5,NA,0.68,NA,"O","105","NAHWITTI RIVER O"
"3577",1990,12,"NAHWITTI RIVER",4000,4494.38202247191,2739.72602739726,0.11,-0.378436435720245,"E","106","NAHWITTI RIVER E"
"3578",1991,12,"NAHWITTI RIVER",NA,NA,462.962962962963,0.48,NA,"O","105","NAHWITTI RIVER O"
"3579",1992,12,"NAHWITTI RIVER",2000,2739.72602739726,581.395348837209,0.27,-1.23547147138531,"E","106","NAHWITTI RIVER E"
"3580",1993,12,"NAHWITTI RIVER",250,462.962962962963,NA,0.46,NA,"O","105","NAHWITTI RIVER O"
"3581",1994,12,"NAHWITTI RIVER",500,581.395348837209,4123.71134020619,0.14,2.10990074916454,"E","106","NAHWITTI RIVER E"
"3582",1995,12,"NAHWITTI RIVER",NA,NA,269.230769230769,0.46,NA,"O","105","NAHWITTI RIVER O"
"3583",1996,12,"NAHWITTI RIVER",4000,4123.71134020619,1157.89473684211,0.03,-1.23969088692801,"E","106","NAHWITTI RIVER E"
"3584",1997,12,"NAHWITTI RIVER",175,269.230769230769,NA,0.35,NA,"O","105","NAHWITTI RIVER O"
"3585",1998,12,"NAHWITTI RIVER",1100,1157.89473684211,NA,0.05,NA,"E","106","NAHWITTI RIVER E"
"3586",1999,12,"NAHWITTI RIVER",NA,NA,NA,0.01,NA,"O","105","NAHWITTI RIVER O"
"3587",2000,12,"NAHWITTI RIVER",NA,NA,NA,0.09,NA,"E","106","NAHWITTI RIVER E"
"3588",2001,12,"NAHWITTI RIVER",NA,NA,NA,0.07,NA,"O","105","NAHWITTI RIVER O"
"3589",2002,12,"NAHWITTI RIVER",NA,NA,NA,0.12,NA,"E","106","NAHWITTI RIVER E"
"3590",2003,12,"NAHWITTI RIVER",NA,NA,NA,0.21,NA,"O","105","NAHWITTI RIVER O"
"3591",2004,12,"NAHWITTI RIVER",NA,NA,NA,0.06,NA,"E","106","NAHWITTI RIVER E"
"3592",2005,12,"NAHWITTI RIVER",NA,NA,NA,0.05,NA,"O","105","NAHWITTI RIVER O"
"3593",2006,12,"NAHWITTI RIVER",NA,NA,NA,0.08,NA,"E","106","NAHWITTI RIVER E"
"3594",2007,12,"NAHWITTI RIVER",NA,NA,NA,0.02,NA,"O","105","NAHWITTI RIVER O"
"3595",2008,12,"NAHWITTI RIVER",NA,NA,NA,0.03,NA,"E","106","NAHWITTI RIVER E"
"3596",2009,12,"NAHWITTI RIVER",NA,NA,NA,0.06,NA,"O","105","NAHWITTI RIVER O"
"3597",2010,12,"NAHWITTI RIVER",NA,NA,NA,0.11,NA,"E","106","NAHWITTI RIVER E"
"3598",2011,12,"NAHWITTI RIVER",NA,NA,NA,0.32,NA,"O","105","NAHWITTI RIVER O"
"3599",2012,12,"NAHWITTI RIVER",NA,NA,NA,0.01,NA,"E","106","NAHWITTI RIVER E"
"3600",2013,12,"NAHWITTI RIVER",NA,NA,NA,0.07,NA,"O","105","NAHWITTI RIVER O"
"3601",2014,12,"NAHWITTI RIVER",NA,NA,NA,0.09,NA,"E","106","NAHWITTI RIVER E"
"3602",2015,12,"NAHWITTI RIVER",NA,NA,NA,0.01,NA,"O","105","NAHWITTI RIVER O"
"3603",2016,12,"NAHWITTI RIVER",NA,NA,NA,0.01,NA,"E","106","NAHWITTI RIVER E"
"3604",2017,12,"NAHWITTI RIVER",NA,NA,NA,NA,NA,"O","105","NAHWITTI RIVER O"
"3605",1950,12,"NAKA CREEK",NA,NA,NA,NA,NA,"E","108","NAKA CREEK E"
"3606",1951,12,"NAKA CREEK",NA,NA,NA,NA,NA,"O","107","NAKA CREEK O"
"3607",1952,12,"NAKA CREEK",NA,NA,NA,NA,NA,"E","108","NAKA CREEK E"
"3608",1953,12,"NAKA CREEK",NA,NA,NA,NA,NA,"O","107","NAKA CREEK O"
"3609",1954,12,"NAKA CREEK",NA,NA,NA,0.28,NA,"E","108","NAKA CREEK E"
"3610",1955,12,"NAKA CREEK",NA,NA,NA,NA,NA,"O","107","NAKA CREEK O"
"3611",1956,12,"NAKA CREEK",NA,NA,NA,0.55,NA,"E","108","NAKA CREEK E"
"3612",1957,12,"NAKA CREEK",NA,NA,NA,NA,NA,"O","107","NAKA CREEK O"
"3613",1958,12,"NAKA CREEK",NA,NA,NA,0.62,NA,"E","108","NAKA CREEK E"
"3614",1959,12,"NAKA CREEK",NA,NA,NA,0.58,NA,"O","107","NAKA CREEK O"
"3615",1960,12,"NAKA CREEK",NA,NA,NA,0.59,NA,"E","108","NAKA CREEK E"
"3616",1961,12,"NAKA CREEK",NA,NA,NA,0.6,NA,"O","107","NAKA CREEK O"
"3617",1962,12,"NAKA CREEK",NA,NA,NA,0.51,NA,"E","108","NAKA CREEK E"
"3618",1963,12,"NAKA CREEK",NA,NA,NA,0.51,NA,"O","107","NAKA CREEK O"
"3619",1964,12,"NAKA CREEK",NA,NA,NA,0.57,NA,"E","108","NAKA CREEK E"
"3620",1965,12,"NAKA CREEK",NA,NA,NA,0.38,NA,"O","107","NAKA CREEK O"
"3621",1966,12,"NAKA CREEK",NA,NA,NA,0.72,NA,"E","108","NAKA CREEK E"
"3622",1967,12,"NAKA CREEK",NA,NA,NA,0.66,NA,"O","107","NAKA CREEK O"
"3623",1968,12,"NAKA CREEK",NA,NA,NA,0.71,NA,"E","108","NAKA CREEK E"
"3624",1969,12,"NAKA CREEK",NA,NA,NA,0.33,NA,"O","107","NAKA CREEK O"
"3625",1970,12,"NAKA CREEK",NA,NA,NA,0.67,NA,"E","108","NAKA CREEK E"
"3626",1971,12,"NAKA CREEK",NA,NA,NA,0.39,NA,"O","107","NAKA CREEK O"
"3627",1972,12,"NAKA CREEK",NA,NA,NA,0.51,NA,"E","108","NAKA CREEK E"
"3628",1973,12,"NAKA CREEK",NA,NA,NA,0.45,NA,"O","107","NAKA CREEK O"
"3629",1974,12,"NAKA CREEK",NA,NA,NA,0.57,NA,"E","108","NAKA CREEK E"
"3630",1975,12,"NAKA CREEK",NA,NA,NA,0.3,NA,"O","107","NAKA CREEK O"
"3631",1976,12,"NAKA CREEK",NA,NA,NA,0.69,NA,"E","108","NAKA CREEK E"
"3632",1977,12,"NAKA CREEK",NA,NA,NA,0.59,NA,"O","107","NAKA CREEK O"
"3633",1978,12,"NAKA CREEK",NA,NA,NA,0.54,NA,"E","108","NAKA CREEK E"
"3634",1979,12,"NAKA CREEK",NA,NA,NA,0.57,NA,"O","107","NAKA CREEK O"
"3635",1980,12,"NAKA CREEK",NA,NA,NA,0.45,NA,"E","108","NAKA CREEK E"
"3636",1981,12,"NAKA CREEK",NA,NA,NA,0.42,NA,"O","107","NAKA CREEK O"
"3637",1982,12,"NAKA CREEK",NA,NA,NA,0.25,NA,"E","108","NAKA CREEK E"
"3638",1983,12,"NAKA CREEK",NA,NA,NA,0.43,NA,"O","107","NAKA CREEK O"
"3639",1984,12,"NAKA CREEK",NA,NA,NA,0.38,NA,"E","108","NAKA CREEK E"
"3640",1985,12,"NAKA CREEK",NA,NA,NA,0.5,NA,"O","107","NAKA CREEK O"
"3641",1986,12,"NAKA CREEK",NA,NA,NA,0.26,NA,"E","108","NAKA CREEK E"
"3642",1987,12,"NAKA CREEK",NA,NA,NA,0.44,NA,"O","107","NAKA CREEK O"
"3643",1988,12,"NAKA CREEK",NA,NA,898.876404494382,0.26,NA,"E","108","NAKA CREEK E"
"3644",1989,12,"NAKA CREEK",NA,NA,NA,0.68,NA,"O","107","NAKA CREEK O"
"3645",1990,12,"NAKA CREEK",800,898.876404494382,34.2465753424658,0.11,-3.15102515796003,"E","108","NAKA CREEK E"
"3646",1991,12,"NAKA CREEK",NA,NA,NA,0.48,NA,"O","107","NAKA CREEK O"
"3647",1992,12,"NAKA CREEK",25,34.2465753424658,NA,0.27,NA,"E","108","NAKA CREEK E"
"3648",1993,12,"NAKA CREEK",NA,NA,NA,0.46,NA,"O","107","NAKA CREEK O"
"3649",1994,12,"NAKA CREEK",NA,NA,257.731958762887,0.14,NA,"E","108","NAKA CREEK E"
"3650",1995,12,"NAKA CREEK",NA,NA,115.384615384615,0.46,NA,"O","107","NAKA CREEK O"
"3651",1996,12,"NAKA CREEK",250,257.731958762887,NA,0.03,NA,"E","108","NAKA CREEK E"
"3652",1997,12,"NAKA CREEK",75,115.384615384615,NA,0.35,NA,"O","107","NAKA CREEK O"
"3653",1998,12,"NAKA CREEK",NA,NA,NA,0.05,NA,"E","108","NAKA CREEK E"
"3654",1999,12,"NAKA CREEK",NA,NA,NA,0.01,NA,"O","107","NAKA CREEK O"
"3655",2000,12,"NAKA CREEK",NA,NA,NA,0.09,NA,"E","108","NAKA CREEK E"
"3656",2001,12,"NAKA CREEK",NA,NA,NA,0.07,NA,"O","107","NAKA CREEK O"
"3657",2002,12,"NAKA CREEK",NA,NA,NA,0.12,NA,"E","108","NAKA CREEK E"
"3658",2003,12,"NAKA CREEK",NA,NA,NA,0.21,NA,"O","107","NAKA CREEK O"
"3659",2004,12,"NAKA CREEK",NA,NA,NA,0.06,NA,"E","108","NAKA CREEK E"
"3660",2005,12,"NAKA CREEK",NA,NA,NA,0.05,NA,"O","107","NAKA CREEK O"
"3661",2006,12,"NAKA CREEK",NA,NA,NA,0.08,NA,"E","108","NAKA CREEK E"
"3662",2007,12,"NAKA CREEK",NA,NA,NA,0.02,NA,"O","107","NAKA CREEK O"
"3663",2008,12,"NAKA CREEK",NA,NA,NA,0.03,NA,"E","108","NAKA CREEK E"
"3664",2009,12,"NAKA CREEK",NA,NA,NA,0.06,NA,"O","107","NAKA CREEK O"
"3665",2010,12,"NAKA CREEK",NA,NA,NA,0.11,NA,"E","108","NAKA CREEK E"
"3666",2011,12,"NAKA CREEK",NA,NA,NA,0.32,NA,"O","107","NAKA CREEK O"
"3667",2012,12,"NAKA CREEK",NA,NA,NA,0.01,NA,"E","108","NAKA CREEK E"
"3668",2013,12,"NAKA CREEK",NA,NA,NA,0.07,NA,"O","107","NAKA CREEK O"
"3669",2014,12,"NAKA CREEK",NA,NA,NA,0.09,NA,"E","108","NAKA CREEK E"
"3670",2015,12,"NAKA CREEK",NA,NA,NA,0.01,NA,"O","107","NAKA CREEK O"
"3671",2016,12,"NAKA CREEK",NA,NA,NA,0.01,NA,"E","108","NAKA CREEK E"
"3672",2017,12,"NAKA CREEK",NA,NA,NA,NA,NA,"O","107","NAKA CREEK O"
"3673",1950,12,"NEW VANCOUVER CREEK",NA,NA,NA,NA,NA,"E","110","NEW VANCOUVER CREEK E"
"3674",1951,12,"NEW VANCOUVER CREEK",NA,NA,NA,NA,NA,"O","109","NEW VANCOUVER CREEK O"
"3675",1952,12,"NEW VANCOUVER CREEK",NA,NA,34.7222222222222,NA,NA,"E","110","NEW VANCOUVER CREEK E"
"3676",1953,12,"NEW VANCOUVER CREEK",200,NA,NA,NA,NA,"O","109","NEW VANCOUVER CREEK O"
"3677",1954,12,"NEW VANCOUVER CREEK",25,34.7222222222222,55.5555555555556,0.28,0.798507696217772,"E","110","NEW VANCOUVER CREEK E"
"3678",1955,12,"NEW VANCOUVER CREEK",25,NA,NA,NA,NA,"O","109","NEW VANCOUVER CREEK O"
"3679",1956,12,"NEW VANCOUVER CREEK",25,55.5555555555556,NA,0.55,NA,"E","110","NEW VANCOUVER CREEK E"
"3680",1957,12,"NEW VANCOUVER CREEK",NA,NA,NA,NA,NA,"O","109","NEW VANCOUVER CREEK O"
"3681",1958,12,"NEW VANCOUVER CREEK",NA,NA,975.609756097561,0.62,NA,"E","110","NEW VANCOUVER CREEK E"
"3682",1959,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.58,NA,"O","109","NEW VANCOUVER CREEK O"
"3683",1960,12,"NEW VANCOUVER CREEK",400,975.609756097561,408.163265306122,0.59,0.0202027073175195,"E","110","NEW VANCOUVER CREEK E"
"3684",1961,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.6,NA,"O","109","NEW VANCOUVER CREEK O"
"3685",1962,12,"NEW VANCOUVER CREEK",200,408.163265306122,465.116279069767,0.51,0.843970070294529,"E","110","NEW VANCOUVER CREEK E"
"3686",1963,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.51,NA,"O","109","NEW VANCOUVER CREEK O"
"3687",1964,12,"NEW VANCOUVER CREEK",200,465.116279069767,89.2857142857143,0.57,-0.806475865866949,"E","110","NEW VANCOUVER CREEK E"
"3688",1965,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.38,NA,"O","109","NEW VANCOUVER CREEK O"
"3689",1966,12,"NEW VANCOUVER CREEK",25,89.2857142857143,NA,0.72,NA,"E","110","NEW VANCOUVER CREEK E"
"3690",1967,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.66,NA,"O","109","NEW VANCOUVER CREEK O"
"3691",1968,12,"NEW VANCOUVER CREEK",NA,NA,75.7575757575758,0.71,NA,"E","110","NEW VANCOUVER CREEK E"
"3692",1969,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.33,NA,"O","109","NEW VANCOUVER CREEK O"
"3693",1970,12,"NEW VANCOUVER CREEK",25,75.7575757575758,NA,0.67,NA,"E","110","NEW VANCOUVER CREEK E"
"3694",1971,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.39,NA,"O","109","NEW VANCOUVER CREEK O"
"3695",1972,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.51,NA,"E","110","NEW VANCOUVER CREEK E"
"3696",1973,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.45,NA,"O","109","NEW VANCOUVER CREEK O"
"3697",1974,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.57,NA,"E","110","NEW VANCOUVER CREEK E"
"3698",1975,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.3,NA,"O","109","NEW VANCOUVER CREEK O"
"3699",1976,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.69,NA,"E","110","NEW VANCOUVER CREEK E"
"3700",1977,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.59,NA,"O","109","NEW VANCOUVER CREEK O"
"3701",1978,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.54,NA,"E","110","NEW VANCOUVER CREEK E"
"3702",1979,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.57,NA,"O","109","NEW VANCOUVER CREEK O"
"3703",1980,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.45,NA,"E","110","NEW VANCOUVER CREEK E"
"3704",1981,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.42,NA,"O","109","NEW VANCOUVER CREEK O"
"3705",1982,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.25,NA,"E","110","NEW VANCOUVER CREEK E"
"3706",1983,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.43,NA,"O","109","NEW VANCOUVER CREEK O"
"3707",1984,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.38,NA,"E","110","NEW VANCOUVER CREEK E"
"3708",1985,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.5,NA,"O","109","NEW VANCOUVER CREEK O"
"3709",1986,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.26,NA,"E","110","NEW VANCOUVER CREEK E"
"3710",1987,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.44,NA,"O","109","NEW VANCOUVER CREEK O"
"3711",1988,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.26,NA,"E","110","NEW VANCOUVER CREEK E"
"3712",1989,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.68,NA,"O","109","NEW VANCOUVER CREEK O"
"3713",1990,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.11,NA,"E","110","NEW VANCOUVER CREEK E"
"3714",1991,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.48,NA,"O","109","NEW VANCOUVER CREEK O"
"3715",1992,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.27,NA,"E","110","NEW VANCOUVER CREEK E"
"3716",1993,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.46,NA,"O","109","NEW VANCOUVER CREEK O"
"3717",1994,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.14,NA,"E","110","NEW VANCOUVER CREEK E"
"3718",1995,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.46,NA,"O","109","NEW VANCOUVER CREEK O"
"3719",1996,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.03,NA,"E","110","NEW VANCOUVER CREEK E"
"3720",1997,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.35,NA,"O","109","NEW VANCOUVER CREEK O"
"3721",1998,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.05,NA,"E","110","NEW VANCOUVER CREEK E"
"3722",1999,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.01,NA,"O","109","NEW VANCOUVER CREEK O"
"3723",2000,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.09,NA,"E","110","NEW VANCOUVER CREEK E"
"3724",2001,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.07,NA,"O","109","NEW VANCOUVER CREEK O"
"3725",2002,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.12,NA,"E","110","NEW VANCOUVER CREEK E"
"3726",2003,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.21,NA,"O","109","NEW VANCOUVER CREEK O"
"3727",2004,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.06,NA,"E","110","NEW VANCOUVER CREEK E"
"3728",2005,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.05,NA,"O","109","NEW VANCOUVER CREEK O"
"3729",2006,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.08,NA,"E","110","NEW VANCOUVER CREEK E"
"3730",2007,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.02,NA,"O","109","NEW VANCOUVER CREEK O"
"3731",2008,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.03,NA,"E","110","NEW VANCOUVER CREEK E"
"3732",2009,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.06,NA,"O","109","NEW VANCOUVER CREEK O"
"3733",2010,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.11,NA,"E","110","NEW VANCOUVER CREEK E"
"3734",2011,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.32,NA,"O","109","NEW VANCOUVER CREEK O"
"3735",2012,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.01,NA,"E","110","NEW VANCOUVER CREEK E"
"3736",2013,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.07,NA,"O","109","NEW VANCOUVER CREEK O"
"3737",2014,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.09,NA,"E","110","NEW VANCOUVER CREEK E"
"3738",2015,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.01,NA,"O","109","NEW VANCOUVER CREEK O"
"3739",2016,12,"NEW VANCOUVER CREEK",NA,NA,NA,0.01,NA,"E","110","NEW VANCOUVER CREEK E"
"3740",2017,12,"NEW VANCOUVER CREEK",NA,NA,NA,NA,NA,"O","109","NEW VANCOUVER CREEK O"
"3741",1950,12,"NIGGER CREEK",NA,NA,NA,NA,NA,"E","112","NIGGER CREEK E"
"3742",1951,12,"NIGGER CREEK",NA,NA,NA,NA,NA,"O","111","NIGGER CREEK O"
"3743",1952,12,"NIGGER CREEK",NA,NA,34.7222222222222,NA,NA,"E","112","NIGGER CREEK E"
"3744",1953,12,"NIGGER CREEK",25,NA,NA,NA,NA,"O","111","NIGGER CREEK O"
"3745",1954,12,"NIGGER CREEK",25,34.7222222222222,NA,0.28,NA,"E","112","NIGGER CREEK E"
"3746",1955,12,"NIGGER CREEK",25,NA,NA,NA,NA,"O","111","NIGGER CREEK O"
"3747",1956,12,"NIGGER CREEK",NA,NA,197.368421052632,0.55,NA,"E","112","NIGGER CREEK E"
"3748",1957,12,"NIGGER CREEK",NA,NA,NA,NA,NA,"O","111","NIGGER CREEK O"
"3749",1958,12,"NIGGER CREEK",75,197.368421052632,487.80487804878,0.62,1.87242737229551,"E","112","NIGGER CREEK E"
"3750",1959,12,"NIGGER CREEK",NA,NA,62.5,0.58,NA,"O","111","NIGGER CREEK O"
"3751",1960,12,"NIGGER CREEK",200,487.80487804878,NA,0.59,NA,"E","112","NIGGER CREEK E"
"3752",1961,12,"NIGGER CREEK",25,62.5,NA,0.6,NA,"O","111","NIGGER CREEK O"
"3753",1962,12,"NIGGER CREEK",NA,NA,NA,0.51,NA,"E","112","NIGGER CREEK E"
"3754",1963,12,"NIGGER CREEK",NA,NA,NA,0.51,NA,"O","111","NIGGER CREEK O"
"3755",1964,12,"NIGGER CREEK",NA,NA,89.2857142857143,0.57,NA,"E","112","NIGGER CREEK E"
"3756",1965,12,"NIGGER CREEK",NA,NA,NA,0.38,NA,"O","111","NIGGER CREEK O"
"3757",1966,12,"NIGGER CREEK",25,89.2857142857143,NA,0.72,NA,"E","112","NIGGER CREEK E"
"3758",1967,12,"NIGGER CREEK",NA,NA,NA,0.66,NA,"O","111","NIGGER CREEK O"
"3759",1968,12,"NIGGER CREEK",NA,NA,75.7575757575758,0.71,NA,"E","112","NIGGER CREEK E"
"3760",1969,12,"NIGGER CREEK",NA,NA,NA,0.33,NA,"O","111","NIGGER CREEK O"
"3761",1970,12,"NIGGER CREEK",25,75.7575757575758,NA,0.67,NA,"E","112","NIGGER CREEK E"
"3762",1971,12,"NIGGER CREEK",NA,NA,90.9090909090909,0.39,NA,"O","111","NIGGER CREEK O"
"3763",1972,12,"NIGGER CREEK",NA,NA,58.1395348837209,0.51,NA,"E","112","NIGGER CREEK E"
"3764",1973,12,"NIGGER CREEK",50,90.9090909090909,NA,0.45,NA,"O","111","NIGGER CREEK O"
"3765",1974,12,"NIGGER CREEK",25,58.1395348837209,NA,0.57,NA,"E","112","NIGGER CREEK E"
"3766",1975,12,"NIGGER CREEK",NA,NA,NA,0.3,NA,"O","111","NIGGER CREEK O"
"3767",1976,12,"NIGGER CREEK",NA,NA,NA,0.69,NA,"E","112","NIGGER CREEK E"
"3768",1977,12,"NIGGER CREEK",NA,NA,NA,0.59,NA,"O","111","NIGGER CREEK O"
"3769",1978,12,"NIGGER CREEK",NA,NA,181.818181818182,0.54,NA,"E","112","NIGGER CREEK E"
"3770",1979,12,"NIGGER CREEK",NA,NA,NA,0.57,NA,"O","111","NIGGER CREEK O"
"3771",1980,12,"NIGGER CREEK",100,181.818181818182,66.6666666666667,0.45,-0.405465108108164,"E","112","NIGGER CREEK E"
"3772",1981,12,"NIGGER CREEK",NA,NA,NA,0.42,NA,"O","111","NIGGER CREEK O"
"3773",1982,12,"NIGGER CREEK",50,66.6666666666667,80.6451612903226,0.25,0.478035800943,"E","112","NIGGER CREEK E"
"3774",1983,12,"NIGGER CREEK",NA,NA,1000,0.43,NA,"O","111","NIGGER CREEK O"
"3775",1984,12,"NIGGER CREEK",50,80.6451612903226,33783.7837837838,0.38,6.51571319120611,"E","112","NIGGER CREEK E"
"3776",1985,12,"NIGGER CREEK",500,1000,53.5714285714286,0.5,-2.23359222150709,"O","111","NIGGER CREEK O"
"3777",1986,12,"NIGGER CREEK",25000,33783.7837837838,4729.72972972973,0.26,-1.66500776358891,"E","112","NIGGER CREEK E"
"3778",1987,12,"NIGGER CREEK",30,53.5714285714286,NA,0.44,NA,"O","111","NIGGER CREEK O"
"3779",1988,12,"NIGGER CREEK",3500,4729.72972972973,2471.91011235955,0.26,-0.347771791875146,"E","112","NIGGER CREEK E"
"3780",1989,12,"NIGGER CREEK",NA,NA,NA,0.68,NA,"O","111","NIGGER CREEK O"
"3781",1990,12,"NIGGER CREEK",2200,2471.91011235955,NA,0.11,NA,"E","112","NIGGER CREEK E"
"3782",1991,12,"NIGGER CREEK",NA,NA,NA,0.48,NA,"O","111","NIGGER CREEK O"
"3783",1992,12,"NIGGER CREEK",NA,NA,NA,0.27,NA,"E","112","NIGGER CREEK E"
"3784",1993,12,"NIGGER CREEK",NA,NA,NA,0.46,NA,"O","111","NIGGER CREEK O"
"3785",1994,12,"NIGGER CREEK",NA,NA,212.371134020619,0.14,NA,"E","112","NIGGER CREEK E"
"3786",1995,12,"NIGGER CREEK",NA,NA,307.692307692308,0.46,NA,"O","111","NIGGER CREEK O"
"3787",1996,12,"NIGGER CREEK",206,212.371134020619,1157.89473684211,0.03,1.72648258438443,"E","112","NIGGER CREEK E"
"3788",1997,12,"NIGGER CREEK",200,307.692307692308,NA,0.35,NA,"O","111","NIGGER CREEK O"
"3789",1998,12,"NIGGER CREEK",1100,1157.89473684211,549.450549450549,0.05,-0.694146680893029,"E","112","NIGGER CREEK E"
"3790",1999,12,"NIGGER CREEK",NA,NA,NA,0.01,NA,"O","111","NIGGER CREEK O"
"3791",2000,12,"NIGGER CREEK",500,549.450549450549,NA,0.09,NA,"E","112","NIGGER CREEK E"
"3792",2001,12,"NIGGER CREEK",NA,NA,NA,0.07,NA,"O","111","NIGGER CREEK O"
"3793",2002,12,"NIGGER CREEK",NA,NA,NA,0.12,NA,"E","112","NIGGER CREEK E"
"3794",2003,12,"NIGGER CREEK",NA,NA,NA,0.21,NA,"O","111","NIGGER CREEK O"
"3795",2004,12,"NIGGER CREEK",NA,NA,NA,0.06,NA,"E","112","NIGGER CREEK E"
"3796",2005,12,"NIGGER CREEK",NA,NA,NA,0.05,NA,"O","111","NIGGER CREEK O"
"3797",2006,12,"NIGGER CREEK",NA,NA,NA,0.08,NA,"E","112","NIGGER CREEK E"
"3798",2007,12,"NIGGER CREEK",NA,NA,NA,0.02,NA,"O","111","NIGGER CREEK O"
"3799",2008,12,"NIGGER CREEK",NA,NA,NA,0.03,NA,"E","112","NIGGER CREEK E"
"3800",2009,12,"NIGGER CREEK",NA,NA,NA,0.06,NA,"O","111","NIGGER CREEK O"
"3801",2010,12,"NIGGER CREEK",NA,NA,NA,0.11,NA,"E","112","NIGGER CREEK E"
"3802",2011,12,"NIGGER CREEK",NA,NA,NA,0.32,NA,"O","111","NIGGER CREEK O"
